day,time,part1,part2
1,0.040863037109375,1076,6379
2,1.554783821105957,23701362036,34284458938
3,0.029285192489624023,17403,173416889848394
4,1.5807969570159912,1356,8713
5,0.0417017936706543,623,353507173555373
6,0.07947206497192383,3785892992137,7669802156452
7,0.06502819061279297,1640,40999072541589
8,8.6616530418396,57970,8520040659
9,3.0137391090393066,4744899849,1540192500
10,0.34297680854797363,434,15132
11,0.0280001163482666,428,331468292364745
12,0.06210613250732422,451,Merry Christmas!
